Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
8000,Female,64,55-64,Democrat,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Disagree,20,,Yes,,Yes,Too Low,FALSE,Smart and Sad,Unacceptable
68000,Female,56,55-64,Democrat,Strongly disapprove,High school,,Black,,Single,,,Unlikely,DK/REF,0,,Somewhat Agree,Somewhat Disagree,6,,No,90,,Too High,FALSE,Smart and Sad,Unacceptable
46000,Male,63,55-64,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,0,,No,20,,About Right,TRUE,Dumb and happy,Acceptable
51000,Male,48,45-54,Republican,Strongly Approve,High school,,White,,Divorced,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Disagree,1,,No,10,,About Right,FALSE,Dumb and happy,Unacceptable
100000,Female,32,25-34,Democrat,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,30,,Yes,,Yes,Too Low,FALSE,Smart and Sad,Acceptable
54000,Female,64,55-64,Democrat,Strongly disapprove,Some college,,White,,Married,,,DK/REF,Real and Caused by People,0,,Strongly Agree,Strongly Agree,15,,No,1,,Too Low,TRUE,Smart and Sad,Unacceptable
83000,Male,61,55-64,Independent,Somewhat Approve,College degree,,White,,Divorced,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,0,,Yes,10,,About Right,TRUE,Dumb and happy,Unacceptable
114000,Female,64,55-64,Republican,Somewhat disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,40,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
90000,Female,64,55-64,Republican,Somewhat Approve,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,No,90,,About Right,TRUE,Dumb and happy,Unacceptable
5000,Female,68,65+,Democrat,Somewhat disapprove,Some college,,White,,Widowed,,,DK/REF,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,1,,No,30,,Too Low,TRUE,Smart and Sad,Unacceptable
57000,Female,63,55-64,Democrat,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,8,,Too Low,FALSE,Smart and Sad,Acceptable
47000,Female,44,35-44,Independent,Neither approve nor disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Disagree,Somewhat Agree,2,,Yes,75,,Too High,DK/REF,Dumb and happy,Unacceptable
39000,Female,57,55-64,Democrat,Somewhat Approve,College degree,,White,,Married,,,DK/REF,Real and Caused by People,0,,Strongly Disagree,Somewhat Agree,12,,Yes,2,,Too High,TRUE,Dumb and happy,Unacceptable
5000,Female,62,55-64,Democrat,Strongly disapprove,College degree,,White,,Single,,,Likely,DK/REF,0,,Strongly Agree,Strongly Agree,6,,No,80,,Too Low,DK/REF,Smart and Sad,Unacceptable
84000,Male,62,55-64,Republican,Somewhat disapprove,College degree,,White,,Divorced,,,Likely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,6,,No,5,,Too Low,FALSE,Dumb and happy,Unacceptable
104000,Male,46,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,24,,No,10,,Too Low,TRUE,DK/REF,Unacceptable
8000,Female,60,55-64,DK/REF,Strongly disapprove,Some college,,White,,Divorced,,,Likely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,0,,Yes,,Yes,Too Low,DK/REF,Dumb and happy,Unacceptable
23000,Female,62,55-64,Democrat,Neither approve nor disapprove,High school,,Other,American Indian,Married,,,Likely,Real but not Caused by People,1,,Strongly Disagree,Strongly Agree,40,,No,25,,Too High,TRUE,Dumb and happy,Acceptable
55000,Female,40,35-44,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,15,,No,10,,Too High,FALSE,Smart and Sad,Unacceptable
80000,Female,48,45-54,Independent,Strongly disapprove,College degree,,Latino,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,DK/REF,5,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
194000,Female,54,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,4,,Yes,25,,Too Low,TRUE,Dumb and happy,Unacceptable
