Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
192000,Female,35,35-44,Strong Republican,DK/REF,College degree,,White,,DK/REF,,DK/REF,Yes,40,,Yes,75,No,50,No,Unlikely,No,No,No,Donald Trump
54000,Female,58,55-64,Independent,Disapprove,Some college,,White,,DK/REF,,DK/REF,Yes,80,,Yes,90,No,50,No,Likely,No,No,Yes,Darth Vader
20000,Male,50,45-54,Not Strong Democrat,Approve,Other,7th grade,White,,Agree,10,,Yes,60,,Yes,50,Yes,30,No,Likely,Yes,No,Yes,Donald Trump
21000,Female,40,35-44,Independent,Disapprove,College degree,,White,,DK/REF,,DK/REF,Yes,30,,Yes,50,Yes,35,No,Likely,No,Yes,No,Darth Vader
164000,Female,42,35-44,Strong Democrat,DK/REF,Graduate degree,,Black,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,0,DK/REF,0,No,Unlikely,No,Yes,Yes,Darth Vader
9000,Female,35,35-44,Strong Democrat,Disapprove,High school,,Latino,,Agree,50,,Yes,100,,Yes,20,Yes,60,No,Likely,No,No,No,Darth Vader
43000,Female,82,65+,Strong Democrat,Disapprove,Some college,,White,,Disagree,70,,Yes,75,,No,20,Yes,20,Yes,Likely,No,No,No,Darth Vader
33000,Female,36,35-44,Independent,Disapprove,College degree,,Latino,,DK/REF,70,,Yes,100,,Yes,49,No,10,No,Unlikely,No,No,DK/REF,Darth Vader
91000,Female,74,65+,Not Strong Republican,Disapprove,College degree,,White,,Disagree,,DK/REF,Yes,75,,No,85,No,50,No,Unlikely,Yes,Yes,No,Donald Trump
43000,Female,41,35-44,DK/REF,Disapprove,College degree,,White,,Disagree,75,,Yes,65,,Yes,25,No,50,No,Unlikely,Yes,Yes,No,Darth Vader
217000,Female,37,35-44,Strong Democrat,Disapprove,Graduate degree,,Black,,Disagree,10,,Yes,100,,Yes,75,No,30,No,Unlikely,Yes,Yes,DK/REF,DK/REF
103000,Female,72,65+,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,20,,Yes,20,,Yes,50,No,80,Yes,Unlikely,No,No,No,Donald Trump
30000,Female,35,35-44,Not Strong Democrat,Disapprove,High school,,Latino,,Disagree,30,,Yes,80,,Yes,20,No,40,No,Likely,No,Yes,No,Darth Vader
30000,Female,48,45-54,Strong Democrat,Disapprove,Some college,,White,,Disagree,50,,Yes,100,,Yes,25,No,20,No,Likely,No,No,Yes,Darth Vader
28000,Female,58,55-64,DK/REF,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,90,,Yes,30,No,20,No,Unlikely,Yes,Yes,DK/REF,DK/REF
95000,Male,38,35-44,DK/REF,DK/REF,Some college,,White,,DK/REF,,DK/REF,Yes,50,,No,50,No,75,No,Likely,Yes,Yes,DK/REF,Donald Trump
66000,Male,30,25-34,Independent,Disapprove,College degree,,Latino,,Agree,50,,Yes,50,,Yes,50,No,40,No,Unlikely,No,No,No,Darth Vader
49000,Male,43,35-44,Independent,DK/REF,Some college,,White,,DK/REF,,DK/REF,Yes,30,,Yes,40,No,50,No,Likely,Yes,Yes,No,Donald Trump
58000,Male,44,35-44,Independent,Approve,Graduate degree,,White,,Disagree,1,,Yes,5,,Yes,90,No,80,No,Unlikely,Yes,Yes,No,Donald Trump
32000,Male,55,55-64,Strong Democrat,Disapprove,Some college,,Latino,,Agree,90,,Yes,100,,Yes,60,No,40,No,Unlikely,No,No,DK/REF,Donald Trump
77000,Female,52,45-54,Strong Republican,Approve,Some college,,White,,Agree,,DK/REF,Yes,,DK/REF,Yes,50,No,30,No,Likely,No,No,DK/REF,Donald Trump
21000,Female,57,55-64,Strong Democrat,Disapprove,Some college,,Black,,Disagree,35,,Yes,100,,Yes,25,No,45,No,Likely,No,No,DK/REF,DK/REF
136000,Male,43,35-44,Independent,Approve,Some college,,White,,DK/REF,,DK/REF,Yes,50,,Yes,50,No,50,No,DK/REF,Yes,Yes,No,Donald Trump
129000,Male,37,35-44,Strong Republican,Approve,College degree,,White,,Disagree,1,,Yes,70,,Yes,80,No,95,No,Unlikely,Yes,Yes,No,Donald Trump
65000,Female,63,55-64,Strong Democrat,Disapprove,High school,,Black,,Agree,50,,Yes,75,,Yes,50,Yes,75,Yes,Likely,No,No,No,Darth Vader
33000,Female,43,35-44,Independent,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,90,,Yes,75,Yes,50,No,Unlikely,No,DK/REF,DK/REF,DK/REF
80000,Male,44,35-44,Independent,Approve,High school,,White,,DK/REF,5,,Yes,5,,Yes,100,No,100,No,Likely,Yes,Yes,Yes,Donald Trump
