Income,Gender,Age,AgeRange,PoliticalAffiliation ,ApproveTrump,education,race,AgreeWhiteNationalists,RepublicansAgreeWhiteNationalists,Would you say that you love America?,DemocratsLoveAmerica,GovHelpPoor,WhitePeopleRacist,CivilWarNextDecade,hunting,kalesalad,VoteTheRockPres,VaderOrTrump
192000,Female,35,35-44,Strong Republican,DK/REF,College degree,White,DK/REF,,Yes,40,Yes,No,Unlikely,No,No,No,Donald Trump
54000,Female,58,55-64,Independent,Disapprove,Some college,White,DK/REF,,Yes,80,Yes,No,Likely,No,No,Yes,Darth Vader
20000,Male,50,45-54,Not Strong Democrat,Approve,Other,White,Agree,10,Yes,60,Yes,Yes,Likely,Yes,No,Yes,Donald Trump
21000,Female,40,35-44,Independent,Disapprove,College degree,White,DK/REF,,Yes,30,Yes,Yes,Likely,No,Yes,No,Darth Vader
164000,Female,42,35-44,Strong Democrat,DK/REF,Graduate degree,Black,DK/REF,,Yes,,Yes,DK/REF,Unlikely,No,Yes,Yes,Darth Vader
9000,Female,35,35-44,Strong Democrat,Disapprove,High school,Latino,Agree,50,Yes,100,Yes,Yes,Likely,No,No,No,Darth Vader
43000,Female,82,65+,Strong Democrat,Disapprove,Some college,White,Disagree,70,Yes,75,No,Yes,Likely,No,No,No,Darth Vader
33000,Female,36,35-44,Independent,Disapprove,College degree,Latino,DK/REF,70,Yes,100,Yes,No,Unlikely,No,No,DK/REF,Darth Vader
91000,Female,74,65+,Not Strong Republican,Disapprove,College degree,White,Disagree,,Yes,75,No,No,Unlikely,Yes,Yes,No,Donald Trump
43000,Female,41,35-44,DK/REF,Disapprove,College degree,White,Disagree,75,Yes,65,Yes,No,Unlikely,Yes,Yes,No,Darth Vader
217000,Female,37,35-44,Strong Democrat,Disapprove,Graduate degree,Black,Disagree,10,Yes,100,Yes,No,Unlikely,Yes,Yes,DK/REF,DK/REF
103000,Female,72,65+,Not Strong Republican,Approve,Graduate degree,White,Disagree,20,Yes,20,Yes,No,Unlikely,No,No,No,Donald Trump
30000,Female,35,35-44,Not Strong Democrat,Disapprove,High school,Latino,Disagree,30,Yes,80,Yes,No,Likely,No,Yes,No,Darth Vader
30000,Female,48,45-54,Strong Democrat,Disapprove,Some college,White,Disagree,50,Yes,100,Yes,No,Likely,No,No,Yes,Darth Vader
28000,Female,58,55-64,DK/REF,Disapprove,Graduate degree,White,Disagree,10,Yes,90,Yes,No,Unlikely,Yes,Yes,DK/REF,DK/REF
95000,Male,38,35-44,DK/REF,DK/REF,Some college,White,DK/REF,,Yes,50,No,No,Likely,Yes,Yes,DK/REF,Donald Trump
66000,Male,30,25-34,Independent,Disapprove,College degree,Latino,Agree,50,Yes,50,Yes,No,Unlikely,No,No,No,Darth Vader
49000,Male,43,35-44,Independent,DK/REF,Some college,White,DK/REF,,Yes,30,Yes,No,Likely,Yes,Yes,No,Donald Trump
58000,Male,44,35-44,Independent,Approve,Graduate degree,White,Disagree,1,Yes,5,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
32000,Male,55,55-64,Strong Democrat,Disapprove,Some college,Latino,Agree,90,Yes,100,Yes,No,Unlikely,No,No,DK/REF,Donald Trump
77000,Female,52,45-54,Strong Republican,Approve,Some college,White,Agree,,Yes,,Yes,No,Likely,No,No,DK/REF,Donald Trump
21000,Female,57,55-64,Strong Democrat,Disapprove,Some college,Black,Disagree,35,Yes,100,Yes,No,Likely,No,No,DK/REF,DK/REF
136000,Male,43,35-44,Independent,Approve,Some college,White,DK/REF,,Yes,50,Yes,No,DK/REF,Yes,Yes,No,Donald Trump
129000,Male,37,35-44,Strong Republican,Approve,College degree,White,Disagree,1,Yes,70,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
65000,Female,63,55-64,Strong Democrat,Disapprove,High school,Black,Agree,50,Yes,75,Yes,Yes,Likely,No,No,No,Darth Vader
33000,Female,43,35-44,Independent,Disapprove,Graduate degree,White,Disagree,10,Yes,90,Yes,Yes,Unlikely,No,DK/REF,DK/REF,DK/REF
80000,Male,44,35-44,Independent,Approve,High school,White,DK/REF,5,Yes,5,Yes,No,Likely,Yes,Yes,Yes,Donald Trump
22000,Female,44,35-44,Independent,DK/REF,Graduate degree,White,Disagree,50,Yes,,DK/REF,No,DK/REF,No,No,No,Donald Trump
65000,Female,54,45-54,Strong Democrat,Disapprove,Some college,White,Disagree,60,Yes,100,Yes,No,Unlikely,No,Yes,Yes,Darth Vader
118000,Female,35,35-44,Independent,Disapprove,Graduate degree,White,DK/REF,,Yes,100,Yes,No,Likely,No,Yes,DK/REF,DK/REF
117000,Female,40,35-44,Not Strong Democrat,Disapprove,Graduate degree,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,Yes,No,DK/REF
37000,Female,36,35-44,DK/REF,Disapprove,College degree,Other,Disagree,50,Yes,90,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
104000,Male,36,35-44,Strong Democrat,Disapprove,Some college,White,Disagree,30,Yes,100,Yes,No,Unlikely,No,No,No,Darth Vader
