Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
,Male,77,65+,Independent,Strong Conservative,Graduate degree,,Latino,,City,Disapprove,Increased,No,No,More Equal Society,73,Not Very Strongly Yes,DK/REF,Yes,Not Hungry,No,Less Smelly
70000,Other,65,65+,Independent,Not Very Strong Conservative,College degree,,White,,City,Neither Approve nor disapprove,Decreased,Yes,Yes,More Equal Society,10,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,65,65+,Independent,Strong Conservative,Some college,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,1,DK/REF,Strongly No,No,Not Hungry,No,DK/REF
,Male,50,45-54,DK/REF,Not Very Strong Conservative,Some college,,White,,City,Neither Approve nor disapprove,Kept the Same,No,No,More Equal Society,1,DK/REF,Not Very Strongly No,No,Not Hungry,No,Less Smelly
,Female,53,45-54,Strong Republican,Strong Conservative,Other,12th grade,White,,Small Town,Approve,DK/REF,No,No,More Unequal Society,1,Strongly No,Strongly No,No,Very Hungry,No,Less Smelly
100000,Male,47,45-54,Independent,Moderate,College degree,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,A Little Hungry,Yes,Less Smelly
,Male,65,65+,Independent,Moderate,College degree,,Other,"White, Black, and Indian",Small Town,DK/REF,Kept the Same,No,DK/REF,DK/REF,100,Strongly Yes,Strongly Yes,Yes,DK/REF,DK/REF,DK/REF
20000,Male,79,65+,Independent,Moderate,Some college,,White,,Small Town,Neither Approve nor disapprove,DK/REF,DK/REF,Yes,More Equal Society,10,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,67,65+,DK/REF,Strong Conservative,College degree,,White,,DK/REF,Approve,Kept the Same,No,No,More Equal Society,90,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Female,53,45-54,Independent,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,70,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
40000,Female,67,65+,Not Strong Republican,Strong Conservative,College degree,,White,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,60,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,58,55-64,DK/REF,Moderate,Graduate degree,,Black,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,1,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Female,54,45-54,DK/REF,DK/REF,High school or less,,Latino,,City,Disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,75,DK/REF,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
,Female,70,65+,DK/REF,DK/REF,College degree,,White,,Small Town,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Not Hungry,DK/REF,DK/REF
15,Male,40,35-44,Strong Democrat,Strong Liberal,Some college,,Latino,,Suburb,Disapprove,Increased,No,No,More Equal Society,99,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,More Smelly
28000,Female,63,55-64,DK/REF,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,DK/REF,Yes,More Equal Society,90,Strongly Yes,DK/REF,Yes,A Little Hungry,No,DK/REF
25000,Male,62,55-64,Strong Democrat,Strong Liberal,Some college,,White,,City,Approve,Kept the Same,Yes,Yes,More Equal Society,75,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
89000,Female,58,55-64,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,18,Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,Less Smelly
2077,Female,64,55-64,Not Strong Democrat,Moderate,Graduate degree,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,1,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
200000,Male,42,35-44,Not Strong Democrat,Not very strong Liberal,College degree,,Latino,,City,Disapprove,Kept the Same,No,No,More Equal Society,50,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Male,66,65+,Independent,Not Very Strong Conservative,High school or less,,White,,Small Town,Neither Approve nor disapprove,Increased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,69,65+,Strong Democrat,Strong Conservative,High school or less,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,7,DK/REF,DK/REF,No,Not Hungry,No,Less Smelly
,Female,66,65+,Not Strong Democrat,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Increased,No,No,More Unequal Society,75,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,Less Smelly
80000,Other,70,65+,Independent,Moderate,Some college,,DK/REF,,Suburb,Neither Approve nor disapprove,Kept the Same,No,DK/REF,More Equal Society,1,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
140,Male,64,55-64,Not Strong Democrat,Not Very Strong Conservative,Some college,,Latino,,City,Approve,Kept the Same,Yes,Yes,More Equal Society,10,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
