caseid,starttime,endtime
391630905,2018-06-06 20:39:07,2018-06-06 20:41:14
391630938,2018-06-06 20:40:12,2018-06-06 20:45:52
391630958,2018-06-06 20:40:54,2018-06-06 20:46:26
391630888,2018-06-06 20:38:44,2018-06-06 20:47:02
391630922,2018-06-06 20:39:38,2018-06-06 20:47:16
391630919,2018-06-06 20:39:34,2018-06-06 20:47:54
391631066,2018-06-06 20:44:38,2018-06-06 20:49:19
391630879,2018-06-06 20:38:32,2018-06-06 20:49:46
390442092,2018-06-06 20:42:17,2018-06-06 20:50:09
391630860,2018-06-06 20:38:00,2018-06-06 20:50:23
391630929,2018-06-06 20:39:56,2018-06-06 20:50:30
391630944,2018-06-06 20:40:21,2018-06-06 20:50:41
391626455,2018-06-06 20:38:59,2018-06-06 20:50:51
391606242,2018-06-06 20:38:06,2018-06-06 20:51:03
391564193,2018-06-06 20:42:45,2018-06-06 20:51:24
391606088,2018-06-06 20:39:33,2018-06-06 20:51:13
391630972,2018-06-06 20:41:16,2018-06-06 20:51:43
391631085,2018-06-06 20:45:04,2018-06-06 20:52:15
391565891,2018-06-06 20:42:20,2018-06-06 20:53:50
391630983,2018-06-06 20:41:29,2018-06-06 20:54:07
391565787,2018-06-06 20:45:14,2018-06-06 20:55:01
391631068,2018-06-06 20:44:41,2018-06-06 20:55:12
391370733,2018-06-06 20:41:42,2018-06-06 20:55:12
391529244,2018-06-06 20:43:51,2018-06-06 20:55:30
391536458,2018-06-06 20:43:43,2018-06-06 20:55:38
391199756,2018-06-06 20:43:28,2018-06-06 20:55:44
391631067,2018-06-06 20:44:39,2018-06-06 20:56:10
391631023,2018-06-06 20:42:59,2018-06-06 20:56:29
391631052,2018-06-06 20:44:21,2018-06-06 20:56:52
391631029,2018-06-06 20:43:26,2018-06-06 20:57:14
391599379,2018-06-06 20:44:03,2018-06-06 20:57:21
391631076,2018-06-06 20:44:54,2018-06-06 20:59:15
391631000,2018-06-06 20:42:11,2018-06-06 20:59:29
391630982,2018-06-06 20:41:29,2018-06-06 20:59:29
391631028,2018-06-06 20:43:24,2018-06-06 21:00:34
391403918,2018-06-06 20:44:47,2018-06-06 21:02:26
391630884,2018-06-06 20:38:36,2018-06-06 21:05:41
391626493,2018-06-06 20:44:30,2018-06-06 21:09:34
391630886,2018-06-06 20:38:44,2018-06-06 21:10:22
391595964,2018-06-06 20:45:11,2018-06-06 21:11:49
391631056,2018-06-06 20:44:31,2018-06-06 21:13:47
391595974,2018-06-06 20:44:39,2018-06-06 21:14:23
391572084,2018-06-06 20:39:10,2018-06-06 22:02:21
391631080,2018-06-06 20:44:58,2018-06-06 23:17:31
392088252,2018-06-08 10:25:42,2018-06-08 10:27:31
392086276,2018-06-08 10:23:43,2018-06-08 10:28:07
392086263,2018-06-08 10:23:22,2018-06-08 10:28:15
392042619,2018-06-08 10:23:38,2018-06-08 10:28:52
391954444,2018-06-08 10:23:41,2018-06-08 10:28:59
392086315,2018-06-08 10:24:47,2018-06-08 10:30:10
392086308,2018-06-08 10:24:35,2018-06-08 10:30:32
392045536,2018-06-08 10:24:12,2018-06-08 10:31:02
392086281,2018-06-08 10:23:48,2018-06-08 10:31:08
392086257,2018-06-08 10:23:17,2018-06-08 10:34:42
391922659,2018-06-08 10:26:53,2018-06-08 10:35:03
392079406,2018-06-08 10:27:48,2018-06-08 10:35:06
392086272,2018-06-08 10:23:36,2018-06-08 10:38:50
392002335,2018-06-08 10:26:19,2018-06-08 10:40:10
392088813,2018-06-08 10:32:45,2018-06-08 10:41:27
392042403,2018-06-08 10:31:14,2018-06-08 10:42:22
392088860,2018-06-08 10:34:21,2018-06-08 10:42:38
392088863,2018-06-08 10:34:29,2018-06-08 10:42:38
392081435,2018-06-08 10:33:47,2018-06-08 10:42:56
392086301,2018-06-08 10:24:26,2018-06-08 10:43:16
392086267,2018-06-08 10:23:29,2018-06-08 10:43:19
392088726,2018-06-08 10:29:31,2018-06-08 10:43:59
392048158,2018-06-08 10:32:11,2018-06-08 10:44:15
391912926,2018-06-08 10:38:33,2018-06-08 10:44:37
392042649,2018-06-08 10:26:39,2018-06-08 10:44:47
392045099,2018-06-08 10:34:45,2018-06-08 10:45:13
392088865,2018-06-08 10:34:31,2018-06-08 10:45:30
392089031,2018-06-08 10:39:08,2018-06-08 10:45:39
392047770,2018-06-08 10:32:41,2018-06-08 10:45:47
392083170,2018-06-08 10:24:44,2018-06-08 10:45:56
392032028,2018-06-08 10:30:33,2018-06-08 10:46:06
392089109,2018-06-08 10:41:21,2018-06-08 10:46:05
392088948,2018-06-08 10:36:53,2018-06-08 10:46:43
392088891,2018-06-08 10:35:05,2018-06-08 10:46:41
392052779,2018-06-08 10:34:44,2018-06-08 10:47:19
392088773,2018-06-08 10:31:24,2018-06-08 10:47:26
392089106,2018-06-08 10:41:15,2018-06-08 10:48:03
392029231,2018-06-08 10:32:40,2018-06-08 10:48:32
392088988,2018-06-08 10:38:05,2018-06-08 10:48:33
392062179,2018-06-08 10:24:09,2018-06-08 10:48:36
