Country, Totally_agree, Tend_to_agree, Tend_to_disagree, Totally_disagree, Dont_know, Total_agree, Total_disagree
EU, 53, 35, 5, 2, 5, 88, 7
BE, 48, 40, 9, 1, 2, 88, 10
BG, 65, 24, 2, 1, 8, 89, 3
CZ, 50, 37, 7, 2, 4, 87, 9
DK, 66, 25, 4, 1, 4, 91, 5
DE, 59, 32, 4, 2, 3, 91, 6
EE, 51, 39, 4, 0, 6, 90, 4
IE, 54, 37, 4, 1, 4, 91, 5
EL, 71, 23, 3, 1, 2, 94, 4
ES, 47, 40, 3, 1, 9, 87, 4
FR, 62, 31, 3, 1, 3, 93, 4
HR, 47, 37, 8, 4, 4, 84, 12
IT, 40, 43, 8, 3, 6, 83, 11
CY, 67, 26, 2, 1, 4, 93, 3
LV, 63, 29, 3, 1, 4, 92, 4
LT, 57, 35, 4, 0, 4, 92, 4
LU, 58, 33, 4, 1, 4, 91, 5
HU, 45, 35, 12, 4, 4, 80, 16
MT, 38, 46, 4, 2, 10, 84, 6
NL, 74, 22, 2, 1, 1, 96, 3
AT, 43, 43, 7, 3, 4, 86, 10
PL, 42, 44, 8, 2, 4, 86, 10
PT, 48, 37, 2, 2, 11, 85, 4
RO, 42, 33, 12, 5, 8, 75, 17
SI, 52, 37, 6, 2, 3, 89, 8
SK, 46, 44, 5, 0, 5, 90, 5
FI, 63, 29, 4, 1, 3, 92, 5
SE, 75, 18, 2, 1, 4, 93, 3
UK, 57, 34, 3, 1, 5, 91, 4
