QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USCAMREP.82JAN.R169,Scientific and technological changes cause unemployment,39,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1982,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1982,01/01/1982,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.82JAN.R169,Scientific and technological changes cause job increases,39,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1982,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1982,01/01/1982,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.82JAN.R169,Don't know,22,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1982,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1982,01/01/1982,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.83JAN.R173,Scientific and technological changes cause unemployment,40,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1983,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1983,01/01/1983,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.83JAN.R173,Scientific and technological changes cause job increases,42,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1983,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1983,01/01/1983,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.83JAN.R173,Don't know,19,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1983,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1983,01/01/1983,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.84JAN.R159,Scientific and technological changes cause unemployment,45,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1984,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1984,01/01/1984,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.84JAN.R159,Scientific and technological changes cause job increases,35,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1984,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1984,01/01/1984,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.84JAN.R159,Don't know,20,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1984,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1984,01/01/1984,N,national adult,1500,personal,Sample size is approximate.
USCAMREP.85JAN.R172,Scientific and technological changes cause unemployment,35,"Some people say that scientific and technological changes cause unemployment because people's jobs are replaced by machines. Others argue that, while some jobs may be lost in specific areas, scientific and technological changes increase the total number of jobs over the long run. Which view do you think is closer to the truth?",,,01/01/1985,Cambridge Reports/Research International,,Cambridge Reports National Omnibus Survey,01/01/1985,01/01/1985,N,national adult,1500,personal,Sample size is approximate.
