ment	phd	kid5	art	gender	married
8	1.38	2	3	male	yes
7	4.29	0	0	male	no
47	3.85	0	4	male	no
19	3.59	1	1	male	yes
0	1.81	0	1	male	yes
6	3.59	1	1	male	yes
10	2.12	1	0	male	yes
2	4.29	0	0	male	yes
2	2.58	2	3	male	yes
4	1.8	1	3	male	yes
0	4.29	2	1	male	yes
3	2.76	1	0	male	yes
10	3.41	1	1	male	yes
7	4.34	3	2	male	yes
15	3.85	2	5	male	yes
2	2.1	0	2	male	yes
13	4.29	0	2	male	yes
15	4.29	0	1	male	no
5	2.26	1	0	male	yes
6	2.1	0	0	male	no
12	2.26	0	3	male	yes
16	3.85	1	6	male	yes
7	4.29	0	4	male	no
6	1.8	2	2	male	yes
2	2.26	0	2	male	no
0	2.1	0	0	male	no
30	4.29	0	4	male	yes
10	4.29	2	1	male	yes
2	2.1	0	1	male	yes
1	3.59	0	7	male	yes
3	3.42	1	2	male	yes
10	4.29	2	2	male	yes
10	4.29	0	2	male	no
1	3.34	2	0	male	yes
2	4.29	0	0	male	no
11	4.29	0	1	male	yes
5	3.62	0	4	male	yes
0	4.29	3	1	male	yes
4	4.34	1	1	male	yes
2	1.25	1	2	male	yes
19	4.34	0	7	male	no
3	1.67	3	1	male	yes
0	3.47	0	0	male	no
1	2.26	1	1	male	yes
1	1.8	0	1	male	yes
17	4.34	2	2	male	yes
3	3.59	0	2	male	no
1	1.75	2	1	male	yes
6	4.29	0	1	male	no
0	2.1	1	0	male	yes
15	4.29	2	0	male	yes
0	2.1	1	0	male	yes
27	3.32	2	2	male	yes
5	4.34	0	2	male	yes
7	3.41	0	4	male	no
0	4.29	0	1	male	yes
11	3.19	0	2	male	yes
13	4.29	0	2	male	yes
4	1.74	2	1	male	yes
4	2.76	0	1	male	no
27	3.59	1	7	male	yes
10	1.81	0	4	male	yes
13	4.29	1	2	male	yes
1	4.29	1	1	male	yes
6	2.76	0	1	male	no
6	3.47	0	6	male	no
5	2.5	2	2	male	yes
2	1.25	0	5	male	yes
14	3.59	1	3	male	yes
0	2.1	1	0	male	yes
12	3.59	0	1	male	yes
7	3.59	3	0	male	yes
3	1.75	0	1	male	yes
2	1.75	2	1	male	yes
2	3.59	1	1	male	yes
2	4.29	0	1	male	no
0	4.29	0	0	male	no
0	2.1	1	0	male	yes
0	2.61	0	3	male	yes
30	4.29	0	5	male	yes
21	1.74	0	16	male	yes
5	2.76	0	1	male	yes
9	4.29	0	0	male	no
8	2.76	2	1	male	yes
25	4.29	2	3	male	yes
0	3.47	1	5	male	yes
5	2.58	2	0	male	yes
1	2.14	0	0	male	yes
5	2.26	0	0	male	no
0	4.29	2	3	male	yes
15	4.29	0	3	male	yes
30	4.29	0	3	male	no
2	2.2	0	0	male	yes
6	1.8	2	3	male	yes
0	2.1	2	1	male	yes
13	4.29	1	1	male	yes
0	4.29	0	0	male	no
12	2.1	1	0	male	yes
30	4.29	2	2	male	yes
5	1.81	1	1	male	yes
10	4.34	0	1	male	yes
5	4.29	1	0	male	yes
4	2.5	2	1	male	yes
13	2.05	2	4	male	yes
8	3.47	0	3	male	yes
6	2.61	1	1	male	yes
6	4.29	2	1	male	yes
25	4.29	0	2	male	no
2	4.29	1	2	male	yes
9	4.34	0	6	male	yes
10	2.12	1	0	male	yes
3	2.76	0	2	male	yes
2	4.29	2	0	male	yes
0	2.5	0	1	male	yes
6	4.34	0	5	male	yes
8	2.76	1	2	male	yes
10	3.19	1	2	male	yes
8	4.62	0	3	male	no
6	3.15	2	0	male	yes
21	2.55	1	4	male	yes
4	1.52	0	0	male	yes
2	1.72	2	4	male	yes
1	1.78	1	2	male	yes
17	2.86	1	1	male	yes
30	4.62	2	0	male	yes
5	4.14	0	1	male	no
13	2.96	1	6	male	yes
11	2.55	0	1	male	yes
19	2.21	1	0	male	yes
5	3.09	0	3	male	yes
66	4.54	2	4	male	yes
0	1.78	0	3	male	yes
3	2.21	3	0	male	yes
3	2.39	1	1	male	yes
0	2.96	0	0	male	yes
8	2.51	1	0	male	yes
0	1.97	2	2	male	yes
5	4.14	0	0	male	no
29	4.25	1	4	male	yes
11	2.86	2	0	male	yes
23	2.96	1	9	male	yes
46	2.96	2	2	male	yes
8	4.62	1	6	male	yes
5	3.69	2	0	male	yes
1	3.15	1	0	male	yes
9	4.62	0	2	male	no
2	3.36	0	0	male	yes
7	3.69	0	4	male	no
11	3.54	0	1	male	yes
57	2.96	1	4	male	yes
16	2.56	1	1	male	yes
0	2.32	0	0	male	yes
3	2.32	0	0	male	yes
1	0.92	2	0	male	yes
10	4.54	0	0	male	yes
11	4.54	3	0	male	yes
11	1.76	1	5	male	yes
16	2.56	0	1	male	no
5	2.39	1	0	male	yes
9	3.4	0	2	male	yes
20	2.87	2	2	male	yes
21	4.54	2	4	male	yes
5	2.83	0	4	male	yes
6	1.68	0	0	male	yes
12	3.54	0	3	male	no
0	1.76	0	2	male	yes
11	3.15	3	1	male	yes
3	2.51	0	0	male	yes
16	3.69	1	0	male	yes
11	1.76	1	4	male	yes
5	1.86	1	12	male	yes
1	2.76	3	0	male	yes
16	4.62	1	1	male	yes
12	4.25	0	5	male	yes
11	2.54	0	4	male	yes
0	2.2	1	0	male	yes
0	1.76	0	2	male	yes
3	2.86	3	3	male	yes
13	3.4	2	0	male	yes
45	4.54	1	1	male	yes
47	1.86	1	9	male	yes
7	1.52	0	0	male	yes
7	2.56	1	2	male	yes
19	2.21	0	0	male	yes
9	3.69	0	7	male	yes
77	1.78	1	1	male	yes
0	1.18	1	0	male	yes
4	2	0	1	male	yes
19	2.21	0	0	male	yes
12	4.14	2	0	male	yes
1	2.86	3	0	male	yes
17	2.86	1	1	male	yes
6	2.54	0	7	male	no
4	2.86	1	0	male	yes
6	2.52	0	4	male	no
3	1.52	1	2	male	yes
5	3.09	1	3	male	yes
3	1.18	1	0	male	yes
3	1.42	0	0	male	yes
15	4.62	0	7	male	no
0	2.96	2	1	male	yes
10	4.54	0	2	male	no
42	4.54	0	7	male	no
3	2.51	2	1	male	yes
7	3.15	1	2	male	yes
0	2.5	0	1	male	yes
6	2.96	3	1	male	yes
4	1.68	0	0	male	yes
0	1.22	1	1	male	yes
2	1.52	0	1	male	yes
5	2.21	1	0	male	yes
1	3.92	1	0	male	yes
13	4.54	0	5	male	yes
0	1.18	0	2	male	yes
26	3.69	0	3	male	yes
1	1.72	0	2	male	yes
25	2.58	1	5	male	yes
3	1.52	0	3	male	no
47	1.86	1	4	male	yes
4	2.5	0	5	male	yes
1	4.62	0	1	male	yes
7	1.4	2	0	male	yes
5	4.54	0	3	male	yes
27	1.68	1	0	male	yes
1	2.83	0	2	male	yes
5	3.36	0	1	male	no
0	1.97	1	7	male	yes
12	3.4	0	1	male	no
4	1.74	1	1	male	yes
0	2.96	0	0	male	no
25	2.58	1	4	male	yes
3	4.54	1	1	male	yes
2	3.15	1	0	male	yes
12	2.96	2	0	male	yes
16	3.54	2	2	male	yes
5	2.96	1	3	male	yes
12	4.25	0	1	male	yes
5	2.56	1	2	male	yes
5	1.86	0	1	male	yes
3	4.62	1	1	male	yes
4	2.86	0	2	male	no
5	3.15	1	5	male	yes
0	2.51	0	2	male	yes
27	3.15	1	5	male	yes
5	2.51	0	2	male	yes
0	1.52	1	0	male	yes
18	4.29	0	6	male	no
5	4.29	1	4	male	yes
8	4.29	2	2	male	yes
4	2.1	0	2	male	yes
35	4.29	1	12	male	yes
5	4.29	0	2	male	no
9	3.59	1	1	male	yes
6	4.29	0	1	male	yes
24	4.29	0	2	male	yes
0	2.1	1	0	male	yes
5	1.81	1	0	male	yes
19	4.29	0	7	male	no
3	4.29	0	1	male	no
2	4.29	1	1	male	yes
4	1.25	0	3	male	yes
10	3.59	0	1	male	yes
8	2.1	1	1	male	yes
2	4.29	0	4	male	yes
19	4.29	1	3	male	yes
1	3.47	1	1	male	yes
3	3.19	0	1	male	yes
5	3.19	2	1	male	yes
0	2.1	0	1	male	yes
21	3.59	1	5	male	yes
14	4.29	1	1	male	yes
0	2.1	0	0	male	yes
7	2.76	1	1	male	yes
5	2.61	0	3	male	yes
22	4.29	0	4	male	yes
20	3.41	0	7	male	no
38	4.29	0	3	male	yes
19	4.29	0	4	male	no
3	2.26	0	2	male	no
16	3.59	0	3	male	no
2	4.29	1	0	male	yes
3	2.05	0	1	male	no
12	4.29	2	1	male	yes
35	4.29	0	0	male	no
19	4.29	0	0	male	yes
2	4.29	0	0	male	no
7	2.76	0	1	male	no
4	2.1	2	3	male	yes
14	2.36	0	1	male	no
9	4.29	0	0	male	no
8	3.59	0	0	male	no
12	4.29	1	2	male	yes
3	4.29	1	0	male	yes
1	4.29	0	1	male	yes
10	4.29	0	1	male	no
21	3.41	0	4	male	no
13	4.29	1	0	male	yes
17	4.29	0	2	male	yes
5	4.29	0	0	male	no
2	2.14	0	0	male	no
8	4.29	0	0	male	yes
2	2.5	1	2	male	yes
5	2.61	1	3	male	yes
1	1.81	2	0	male	yes
2	2.26	1	0	male	yes
4	3.62	2	1	male	yes
9	4.29	2	1	male	yes
9	4.29	0	0	male	no
17	4.29	0	2	male	no
24	4.29	2	0	male	yes
4	3.47	0	4	male	yes
14	4.29	1	2	male	yes
5	3.59	1	1	male	yes
10	1.81	0	1	male	no
18	4.29	1	3	male	yes
1	4.29	1	0	male	yes
0	2.1	0	1	male	yes
4	2.15	2	0	male	yes
8	4.29	0	0	male	yes
1	2.26	0	1	male	yes
8	4.29	0	0	male	yes
13	4.29	2	0	male	yes
5	3.59	2	0	male	yes
7	3.41	2	0	male	yes
7	3.59	0	3	male	no
5	3.62	1	3	male	yes
0	2.1	3	1	male	yes
14	4.29	0	1	male	no
6	4.29	0	0	male	yes
5	2.26	1	1	male	yes
8	2.76	0	3	male	yes
4	2.61	1	1	male	yes
9	4.29	0	2	male	no
3	2.1	1	2	male	yes
2	3.47	1	0	male	yes
0	2.1	0	0	male	no
11	4.29	0	1	male	no
9	4.29	0	1	male	no
8	2.96	0	1	male	yes
2	2.96	0	2	male	yes
18	4.62	0	3	male	yes
3	1.42	0	3	male	yes
2	4.54	0	1	male	yes
7	2.52	0	0	male	yes
10	4.54	1	2	male	yes
16	2	1	1	male	yes
5	2.54	0	0	male	yes
0	2.5	0	2	male	yes
8	4.54	0	0	male	no
10	3.36	0	1	male	no
18	3.4	1	0	male	yes
12	1.68	1	1	male	yes
9	2	0	1	male	no
39	2.86	0	1	male	yes
18	4.62	0	1	male	yes
15	4.14	0	1	male	yes
16	4.14	0	2	male	yes
2	2.96	0	0	male	no
7	2.83	2	3	male	yes
24	2.55	0	2	male	yes
8	1.68	0	1	male	yes
7	2	0	1	male	no
11	2	1	1	male	yes
0	2.96	1	4	male	yes
4	1.5	0	4	male	yes
21	3.54	0	2	male	yes
6	3.4	0	1	male	no
6	4.62	0	0	male	no
8	2.83	0	3	male	no
4	2.54	0	1	male	yes
12	2.87	0	1	male	no
15	1.86	0	1	male	no
0	3.92	1	1	male	yes
5	3.69	1	1	male	yes
15	2.86	2	4	male	yes
5	4.54	0	0	male	no
8	4.62	0	0	male	no
13	2.86	1	0	male	yes
2	3.4	0	1	male	no
6	2.58	2	4	male	yes
20	4.25	0	3	male	yes
7	1.76	1	2	male	yes
7	2.86	3	0	male	yes
16	3.69	2	4	male	yes
13	3.4	0	0	male	yes
0	3.4	2	0	male	yes
1	4.54	2	0	male	yes
12	2.87	0	3	male	no
7	1.76	0	4	male	yes
4	4.25	0	1	male	no
0	3.92	0	3	male	no
4	3.36	0	2	male	yes
4	2.32	0	1	male	yes
37	4.54	0	2	male	no
23	3.36	1	0	male	yes
8	2	3	2	male	yes
8	3.92	1	1	male	yes
2	3.92	0	1	male	no
0	3.36	0	1	male	no
1	1.78	0	1	male	yes
21	3.54	1	1	male	yes
10	3.92	0	2	male	no
8	2.32	0	3	male	no
34	1.68	0	1	male	yes
14	3.09	0	2	male	no
6	2.58	1	0	male	yes
14	3.4	0	6	male	no
12	2.87	0	3	male	no
18	4.62	0	4	male	no
3	2.96	3	0	male	yes
6	1.86	2	2	male	yes
2	1.22	1	0	male	yes
11	2.51	2	6	male	yes
11	2.51	0	8	male	yes
5	3.69	0	2	male	yes
8	2.96	0	3	male	yes
4	1.78	0	1	male	yes
1	1.22	1	1	male	yes
8	2.86	0	0	male	yes
19	3.69	0	7	male	no
2	2.12	0	0	male	no
10	2.52	1	2	male	yes
4	2.32	0	1	male	yes
3	4.62	0	2	male	yes
2	3.54	2	4	male	yes
1	2.5	0	0	male	yes
5	1.68	0	0	male	no
2	3.4	1	1	male	yes
5	3.92	0	0	male	no
53	4.54	1	5	male	yes
55	4.54	0	2	male	no
0	2.5	0	0	male	no
11	4.54	0	2	male	yes
25	3.54	0	3	male	no
5	1.52	0	2	male	yes
2	3.92	2	0	male	yes
8	4.62	0	2	male	yes
0	3.92	0	3	male	yes
5	2.32	2	0	male	yes
8	2.96	2	2	male	yes
7	2.86	2	1	male	yes
14	1.95	1	3	male	yes
2	3.92	2	1	male	yes
5	2.87	0	1	male	no
24	3.69	0	3	male	yes
3	3.69	0	0	male	yes
4	2.39	0	2	male	no
3	1.95	2	3	male	yes
11	3.36	0	5	male	no
4	2.39	1	2	male	yes
26	3.69	0	2	male	no
4	2.96	1	5	male	yes
2	3.21	0	0	male	yes
0	2.12	2	0	male	yes
53	4.54	1	2	male	yes
4	2.32	0	3	male	yes
6	2.54	1	3	male	yes
2	2.86	1	1	male	yes
14	3.47	0	3	male	yes
15	2.87	0	4	male	no
4	2.32	0	0	male	yes
15	1.86	2	4	male	yes
4	1.95	0	2	male	yes
2	2.32	2	0	male	yes
20	4.25	2	1	male	yes
4	1.97	0	6	male	no
42	1.86	0	19	male	yes
8	3.69	1	0	male	yes
3	4.54	1	0	male	yes
9	3.54	0	4	male	yes
10	4.54	1	1	male	yes
7	2.86	2	11	male	yes
25	3.36	0	0	male	yes
3	2.86	0	0	male	no
4	2.96	2	0	male	yes
22	2.56	2	1	male	yes
8	1.63	0	2	male	yes
14	2.96	0	0	male	no
0	2.96	0	1	male	yes
8	1.63	1	1	male	yes
0	2.96	0	0	male	no
21	2.96	2	2	male	yes
7	2.96	0	1	male	yes
31	4.54	2	3	male	yes
2	4.54	2	2	male	yes
10	2.15	0	1	male	no
6	4.54	1	2	male	yes
12	2.21	2	2	male	yes
1	2.21	1	0	male	yes
29	4.54	0	2	male	no
10	2.21	1	3	male	yes
6	2.21	0	0	male	yes
37	4.54	0	3	male	yes
5	4.54	0	4	male	no
9	2.12	0	0	female	no
2	2.12	0	0	female	yes
2	2.12	0	2	female	yes
3	2.12	0	3	female	yes
9	2.12	1	1	female	yes
11	2.39	0	3	female	no
5	2.58	0	2	female	no
7	3.19	0	4	female	yes
5	3.75	0	0	female	no
3	3.59	0	1	female	no
2	2.58	0	2	female	no
0	3.75	0	3	female	no
5	3.75	0	0	female	yes
1	3.75	0	0	female	no
4	1.22	2	2	female	yes
14	3.75	0	0	female	no
7	3.75	0	0	female	yes
26	3.75	0	0	female	no
8	3.75	0	2	female	no
3	3.75	0	4	female	no
6	3.75	0	0	female	no
21	3.75	0	1	female	no
8	3.75	0	2	female	yes
4	3.75	0	0	female	no
7	3.75	1	1	female	yes
0	3.75	0	2	female	yes
0	2.54	1	0	female	yes
1	2.54	0	0	female	yes
4	2.76	0	0	female	no
2	4.14	0	0	female	no
4	0.92	0	1	female	no
0	1	0	0	female	no
6	3.09	0	2	female	no
3	3.09	1	2	female	yes
0	1.79	0	0	female	no
